"treatment"	"h"	"p"	"repl"	"complianceRate"	"observedCompliance"
"344"	0	0	0.15	44	0.614	0.546240851630073
"345"	0	0	0.15	45	0.614	0.546240851630073
"346"	0	0	0.15	46	0.616	0.546240851630073
"347"	0	0	0.15	47	0.652	0.546240851630073
"348"	0	0	0.15	48	0.6	0.546240851630073
"349"	0	0	0.15	49	0.614	0.546240851630073
"350"	0	0	0.15	50	0.65	0.546240851630073
"351"	0	0	0.15	51	0.628	0.546240851630073
"352"	0	0	0.15	52	0.606	0.546240851630073
"353"	0	0	0.15	53	0.588	0.546240851630073
"354"	0	0	0.15	54	0.622	0.546240851630073
"355"	0	0	0.15	55	0.606	0.546240851630073
"356"	0	0	0.15	56	0.61	0.546240851630073
"357"	0	0	0.15	57	0.612	0.546240851630073
"358"	0	0	0.15	58	0.638	0.546240851630073
"359"	0	0	0.15	59	0.59	0.546240851630073
"360"	0	0	0.15	60	0.614	0.546240851630073
"361"	0	0	0.15	61	0.594	0.546240851630073
"362"	0	0	0.15	62	0.64	0.546240851630073
"363"	0	0	0.15	63	0.636	0.546240851630073
"364"	0	0	0.15	64	0.648	0.546240851630073
"365"	0	0	0.15	65	0.65	0.546240851630073
"366"	0	0	0.15	66	0.638	0.546240851630073
"367"	0	0	0.15	67	0.614	0.546240851630073
"368"	0	0	0.15	68	0.576	0.546240851630073
"369"	0	0	0.15	69	0.588	0.546240851630073
"370"	0	0	0.15	70	0.606	0.546240851630073
"371"	0	0	0.15	71	0.612	0.546240851630073
"372"	0	0	0.15	72	0.612	0.546240851630073
"373"	0	0	0.15	73	0.574	0.546240851630073
"374"	0	0	0.15	74	0.576	0.546240851630073
"375"	0	0	0.15	75	0.65	0.546240851630073
"376"	0	0	0.15	76	0.608	0.546240851630073
"377"	0	0	0.15	77	0.634	0.546240851630073
"378"	0	0	0.15	78	0.592	0.546240851630073
"379"	0	0	0.15	79	0.638	0.546240851630073
"380"	0	0	0.15	80	0.606	0.546240851630073
"381"	0	0	0.15	81	0.584	0.546240851630073
"382"	0	0	0.15	82	0.62	0.546240851630073
"383"	0	0	0.15	83	0.66	0.546240851630073
"384"	0	0	0.15	84	0.57	0.546240851630073
"385"	0	0	0.15	85	0.632	0.546240851630073
"386"	0	0	0.15	86	0.602	0.546240851630073
"387"	0	0	0.15	87	0.624	0.546240851630073
"388"	0	0	0.15	88	0.626	0.546240851630073
"389"	0	0	0.15	89	0.634	0.546240851630073
"390"	0	0	0.15	90	0.616	0.546240851630073
"391"	0	0	0.15	91	0.606	0.546240851630073
"392"	0	0	0.15	92	0.596	0.546240851630073
"393"	0	0	0.15	93	0.598	0.546240851630073
"394"	0	0	0.15	94	0.64	0.546240851630073
"395"	0	0	0.15	95	0.606	0.546240851630073
"396"	0	0	0.15	96	0.62	0.546240851630073
"397"	0	0	0.15	97	0.646	0.546240851630073
"398"	0	0	0.15	98	0.584	0.546240851630073
"399"	0	0	0.15	99	0.622	0.546240851630073
"400"	0	0	0.15	100	0.63	0.546240851630073
"401"	0	0	0.2	1	0.634	0.546240851630073
"402"	0	0	0.2	2	0.626	0.546240851630073
"403"	0	0	0.2	3	0.616	0.546240851630073
"404"	0	0	0.2	4	0.64	0.546240851630073
"405"	0	0	0.2	5	0.57	0.546240851630073
"406"	0	0	0.2	6	0.598	0.546240851630073
"407"	0	0	0.2	7	0.588	0.546240851630073
"408"	0	0	0.2	8	0.6	0.546240851630073
"409"	0	0	0.2	9	0.606	0.546240851630073
"410"	0	0	0.2	10	0.6	0.546240851630073
"411"	0	0	0.2	11	0.654	0.546240851630073
"412"	0	0	0.2	12	0.596	0.546240851630073
"413"	0	0	0.2	13	0.606	0.546240851630073
"414"	0	0	0.2	14	0.59	0.546240851630073
"415"	0	0	0.2	15	0.576	0.546240851630073
"416"	0	0	0.2	16	0.616	0.546240851630073
"417"	0	0	0.2	17	0.576	0.546240851630073
"418"	0	0	0.2	18	0.614	0.546240851630073
"419"	0	0	0.2	19	0.648	0.546240851630073
"420"	0	0	0.2	20	0.574	0.546240851630073
"421"	0	0	0.2	21	0.602	0.546240851630073
"422"	0	0	0.2	22	0.606	0.546240851630073
"423"	0	0	0.2	23	0.622	0.546240851630073
"424"	0	0	0.2	24	0.648	0.546240851630073
"425"	0	0	0.2	25	0.616	0.546240851630073
"426"	0	0	0.2	26	0.622	0.546240851630073
"427"	0	0	0.2	27	0.624	0.546240851630073
"428"	0	0	0.2	28	0.62	0.546240851630073
"429"	0	0	0.2	29	0.672	0.546240851630073
"430"	0	0	0.2	30	0.598	0.546240851630073
"431"	0	0	0.2	31	0.592	0.546240851630073
"432"	0	0	0.2	32	0.602	0.546240851630073
"433"	0	0	0.2	33	0.62	0.546240851630073
"434"	0	0	0.2	34	0.582	0.546240851630073
"435"	0	0	0.2	35	0.636	0.546240851630073
"436"	0	0	0.2	36	0.622	0.546240851630073
"437"	0	0	0.2	37	0.586	0.546240851630073
"438"	0	0	0.2	38	0.638	0.546240851630073
"439"	0	0	0.2	39	0.628	0.546240851630073
"440"	0	0	0.2	40	0.638	0.546240851630073
"441"	0	0	0.2	41	0.628	0.546240851630073
"442"	0	0	0.2	42	0.646	0.546240851630073
"443"	0	0	0.2	43	0.602	0.546240851630073
"444"	0	0	0.2	44	0.626	0.546240851630073
"445"	0	0	0.2	45	0.648	0.546240851630073
"446"	0	0	0.2	46	0.594	0.546240851630073
"447"	0	0	0.2	47	0.644	0.546240851630073
"448"	0	0	0.2	48	0.582	0.546240851630073
"449"	0	0	0.2	49	0.608	0.546240851630073
"450"	0	0	0.2	50	0.62	0.546240851630073
"451"	0	0	0.2	51	0.618	0.546240851630073
"452"	0	0	0.2	52	0.598	0.546240851630073
"453"	0	0	0.2	53	0.608	0.546240851630073
"454"	0	0	0.2	54	0.616	0.546240851630073
"455"	0	0	0.2	55	0.596	0.546240851630073
"456"	0	0	0.2	56	0.592	0.546240851630073
"457"	0	0	0.2	57	0.636	0.546240851630073
"458"	0	0	0.2	58	0.598	0.546240851630073
"459"	0	0	0.2	59	0.602	0.546240851630073
"460"	0	0	0.2	60	0.604	0.546240851630073
"461"	0	0	0.2	61	0.594	0.546240851630073
"462"	0	0	0.2	62	0.622	0.546240851630073
"463"	0	0	0.2	63	0.62	0.546240851630073
"464"	0	0	0.2	64	0.638	0.546240851630073
"465"	0	0	0.2	65	0.632	0.546240851630073
"466"	0	0	0.2	66	0.622	0.546240851630073
"467"	0	0	0.2	67	0.622	0.546240851630073
"468"	0	0	0.2	68	0.57	0.546240851630073
"469"	0	0	0.2	69	0.646	0.546240851630073
"470"	0	0	0.2	70	0.628	0.546240851630073
"471"	0	0	0.2	71	0.624	0.546240851630073
"472"	0	0	0.2	72	0.622	0.546240851630073
"473"	0	0	0.2	73	0.616	0.546240851630073
"474"	0	0	0.2	74	0.58	0.546240851630073
"475"	0	0	0.2	75	0.604	0.546240851630073
"476"	0	0	0.2	76	0.662	0.546240851630073
"477"	0	0	0.2	77	0.626	0.546240851630073
"478"	0	0	0.2	78	0.602	0.546240851630073
"479"	0	0	0.2	79	0.596	0.546240851630073
"480"	0	0	0.2	80	0.604	0.546240851630073
